Date, Open, High, Low, Close, Volume
11-17-2020,1776.94,1785,1767,1770.15,1147114
11-16-2020,1771.7,1799.07,1767.69,1781.38,1246785
11-13-2020,1757.63,1781.04,1744.55,1777.02,1500574
11-12-2020,1747.63,1768.27,1745.6,1749.84,1248754
11-11-2020,1750,1764.22,1747.365,1752.71,1263966
11-10-2020,1731.09,1763,1717.3,1740.39,2636142
11-09-2020,1790.9,1818.06,1760.02,1763,2268270
11-06-2020,1753.95,1772.43,1740.35,1761.75,1661225
11-05-2020,1781,1793.64,1750.51,1763.37,2065812
11-04-2020,1710.28,1771.365,1706.03,1749.13,3570927
11-03-2020,1631.78,1661.7,1616.62,1650.21,1661653
11-02-2020,1628.16,1660.77,1616.03,1626.03,2535446
10-30-2020,1672.11,1687,1604.46,1621.01,4330862
10-29-2020,1522.36,1593.71,1522.24,1567.24,2003064
10-28-2020,1559.74,1561.35,1514.62,1516.62,1833959
10-27-2020,1595.67,1606.845,1582.78,1604.26,1229002
10-26-2020,1625.01,1638.24,1576.5,1590.45,1853254
10-23-2020,1626.07,1642.36,1620.51,1641,1375844
10-22-2020,1593.05,1621.99,1585,1615.33,1434042
10-21-2020,1573.33,1618.73,1571.63,1593.31,2568345
10-20-2020,1527.05,1577.5,1525.67,1555.93,2242572
10-19-2020,1580.46,1588.15,1528,1534.61,1607075
10-16-2020,1565.85,1581.13,1563,1573.01,1435137
10-15-2020,1547.15,1575.105,1545.03,1559.13,1540817
10-14-2020,1578.59,1587.684,1550.53,1568.08,1930990
10-13-2020,1583.73,1590,1563.2,1571.68,1601043
10-12-2020,1543,1593.86,1532.57,1569.15,2482560
10-09-2020,1494.7,1516.52,1489.45,1515.22,1435542
10-08-2020,1465.09,1490,1465.09,1485.93,1187831
10-07-2020,1464.29,1468.96,1436,1460.29,1746156
10-06-2020,1475.58,1486.76,1448.59,1453.44,1245423
10-05-2020,1466.21,1488.21,1464.27,1486.02,1113257
10-02-2020,1462.03,1483.2,1450.92,1458.42,1284071
10-01-2020,1484.27,1499.04,1479.21,1490.09,1779497
09-30-2020,1466.8,1489.75,1459.88,1469.6,1701608
09-29-2020,1470.39,1476.663,1458.805,1469.33,979102
09-28-2020,1474.21,1476.8,1449.301,1464.52,2007941
09-25-2020,1432.63,1450,1413.34,1444.96,1323375
09-24-2020,1411.03,1443.709,1409.85,1428.29,1450216
09-23-2020,1458.78,1460.96,1407.7,1415.21,1657350
09-22-2020,1450.09,1469.52,1434.53,1465.46,1583201
09-21-2020,1440.06,1448.36,1406.55,1431.16,2888827
09-18-2020,1498.01,1503.003,1437.13,1459.99,3103882
09-17-2020,1496,1508.298,1470,1495.53,1879751
09-16-2020,1555.54,1562,1519.82,1520.9,1312299
09-15-2020,1536,1559.57,1531.835,1541.44,1331082
09-14-2020,1539.005,1564,1515.74,1519.28,1696589
09-11-2020,1536,1575.2,1497.36,1520.72,1597087
09-10-2020,1560.64,1584.081,1525.805,1532.02,1618557
09-09-2020,1557.53,1569,1536.051,1556.96,1774704
09-08-2020,1533.51,1563.865,1528.01,1532.39,2610884
09-04-2020,1624.26,1645.11,1547.613,1591.04,2608568
09-03-2020,1709.714,1709.714,1615.06,1641.84,3107763
09-02-2020,1673.775,1733.18,1666.33,1728.28,2511180
09-01-2020,1636.63,1665.73,1632.22,1660.71,1826655
08-31-2020,1647.89,1647.965,1630.31,1634.18,1823406
08-28-2020,1633.49,1647.17,1630.75,1644.41,1499782
08-27-2020,1653.68,1655,1625.75,1634.33,1861602
08-26-2020,1608,1659.22,1603.6,1652.38,3581072
08-25-2020,1582.07,1611.62,1582.07,1608.22,2132084
08-24-2020,1593.98,1614.17,1580.57,1588.2,1410229
08-21-2020,1577.03,1597.72,1568.005,1580.42,1446453
08-20-2020,1543.45,1585.87,1538.2,1581.75,1706877
08-19-2020,1553.31,1573.68,1543.95,1547.53,1660611
08-18-2020,1526.18,1562.47,1523.71,1558.6,2027086
08-17-2020,1514.67,1525.61,1507.97,1517.98,1378600
08-14-2020,1515.66,1521.9,1502.88,1507.73,1355200
08-13-2020,1510.34,1537.25,1508.005,1518.45,1455208
08-12-2020,1485.58,1512.386,1485.25,1506.62,1437655
08-11-2020,1492.44,1510,1478,1480.32,1454365
08-10-2020,1487.18,1504.075,1473.08,1496.1,1289530
08-07-2020,1500,1516.845,1481.64,1494.49,1577826
08-06-2020,1471.75,1502.39,1466,1500.1,1995368
08-05-2020,1469.3,1482.41,1463.46,1473.61,1979957
08-04-2020,1476.57,1485.56,1458.65,1464.97,1903489
08-03-2020,1486.64,1490.47,1465.64,1474.45,2331514
07-31-2020,1505.01,1508.95,1454.03,1482.96,3429036
07-30-2020,1497,1537.87,1492.22,1531.45,1671396
07-29-2020,1506.32,1531.252,1501.33,1522.02,1106534
07-28-2020,1525.18,1526.48,1497.66,1500.34,1702174
07-27-2020,1515.6,1540.97,1515.21,1530.2,1245980
07-24-2020,1498.93,1517.636,1488.4,1511.87,1544404
07-23-2020,1566.97,1571.87,1507.392,1515.68,1627634
07-22-2020,1560.5,1570,1546.1,1568.49,931985
07-21-2020,1586.99,1586.99,1554.28,1558.42,1218645
07-20-2020,1515.26,1570.29,1503.6,1565.72,1557252
07-17-2020,1521.62,1523.44,1498.42,1515.55,1457010
07-16-2020,1500,1518.69,1486.31,1518,1519345
07-15-2020,1523.13,1535.33,1498,1513.64,1610684
07-14-2020,1490.31,1522.95,1483.5,1520.58,1585016
07-13-2020,1550,1577.132,1505.243,1511.34,1846424
07-10-2020,1506.15,1543.83,1496.54,1541.74,1856704
07-09-2020,1506.45,1522.72,1488.085,1510.99,1423322
07-08-2020,1494.32,1505.88,1485.63,1496,1249658
07-07-2020,1490,1516.8,1483.55,1485.18,1458172
07-06-2020,1480.06,1506.59,1472.86,1495.7,1563997
07-02-2020,1446.94,1482.95,1446.42,1464.7,1859480
07-01-2020,1411.1,1443,1409.82,1438.04,1775167
06-30-2020,1390.44,1418.65,1383.96,1413.61,2042381
06-29-2020,1358.18,1395.6,1347.01,1394.97,1810180
06-26-2020,1431.39,1433.45,1351.99,1359.9,4267698
06-25-2020,1429.9,1442.9,1420,1441.33,1230474
06-24-2020,1461.51,1475.42,1429.75,1431.97,1756022
06-23-2020,1455.64,1475.941,1445.24,1464.41,1429764
06-22-2020,1429,1452.75,1423.21,1451.86,1542440
06-19-2020,1444,1447.8,1421.35,1431.72,3157875
06-18-2020,1449.16,1451.41,1427.01,1435.96,1581916
06-17-2020,1447.16,1460,1431.38,1451.12,1549615
06-16-2020,1445.22,1455.02,1425.9,1442.72,1711614
06-15-2020,1390.8,1424.8,1387.92,1419.85,1506096
06-12-2020,1428.49,1437,1386.02,1413.18,1946367
06-11-2020,1442.48,1454.475,1402,1403.84,1991332
06-10-2020,1459.54,1474.259,1456.27,1465.85,1525153
06-09-2020,1445.36,1468,1443.21,1456.16,1409249
06-08-2020,1422.34,1447.99,1422.34,1446.61,1404178
06-05-2020,1413.17,1445.05,1406,1438.39,1735244
06-04-2020,1430.4,1438.96,1404.73,1412.18,1484272
06-03-2020,1438.3,1446.552,1429.777,1436.38,1256186
06-02-2020,1430.55,1439.61,1418.83,1439.22,1278128
06-01-2020,1418.39,1437.96,1418,1431.82,1217140
05-29-2020,1416.94,1432.57,1413.35,1428.92,1838059
05-28-2020,1396.86,1440.84,1396,1416.73,1693976
05-27-2020,1417.25,1421.74,1391.29,1417.84,1686142
05-26-2020,1437.27,1441,1412.13,1417.02,2060643
05-22-2020,1396.71,1412.76,1391.83,1410.42,1309408
05-21-2020,1408,1415.49,1393.45,1402.8,1385194
05-20-2020,1389.58,1410.42,1387.25,1406.72,1655375
